text,cefr,l1,corpus,item_id
"Dear Rene! Thank you for your E-nail! I usually watching TV at night if I have a time.In my age group are most popular the following programs:news and weather(60%),movies(51%),soap operas(42%).I prefer to avoid movies,game shows,sitcoms and weather.The ratings shows are least popular in my age group:reality TV(46%), game shows(43%), talk shows(41%). Love, your friend Joe",B1,German,EFCAMDAT,200655
"First, I will finish University and I will take a year gap because I would like to stay in a foreign country, to meet new people, to learn a new language and to know a different culture. Next, I will come back in my Country and I will participate to careers fair organize by University. In this way I hope to know my job opportunities. Another thing that I would like to do is different job experiences to enrich my CV. The fourth stage in my plane is do volunteer for an organization. finally I will find a good job.",B1,Italian,EFCAMDAT,257057
"School name: New York School Ltd. Education: reaching Position: teacher Education physical vocation: New York City Job duties: Teach Education physical, exercises, several sports, football, volley, basketball, handbolt, track and field, personal trainer, yoga, work with any age children, youths, old man, by happy, competent, woman, honest. Minimum requirements: BA Education physical or similar, 5 years relevant experience. salary range: $20,000 to $25,000 or $5,25 to hour.",B1,Portuguese,EFCAMDAT,298646
This is a very interesting game with the frisbee. Listen to me carefully. First we have free teams. In each teams have 3 players. each clear give the frisbee then turns. The winner is the player with a most points.,B1,French,EFCAMDAT,309644
"To play Frisbee howling you have to mark an area about 8 meters X by 3 meters and this area is then the bowling alley. If you don't have bowling pins you can use 10 plastic bottles for it. Line the 'pins' up in rows of 4, then 3, then 2, then 1. each player have two opportunities on each turn to shot with te frisbee. each have ten turns. Every pin that fall down is one point. When the player do a 'strike' he have two more shots. The player with more points is the winner. Be careful, its better don't play on windy days.",B1,German,EFCAMDAT,340016
"Career lane Name: Denis Guerrero 1-First I need to study hard, because without this there will be no. 2-Then to think that area would like to work. 3-And then after thinking, the next step is to specialize in this area. 4-The fourth stage of my plans is to open a company and then work hard. 5-I will finally be satisfied and happy with my work!",B1,Portuguese,EFCAMDAT,414038
"Hi Renee, How it going? Did you saw the answer survey? I saw and I did a analysis: In my age group the most popular TV show is news and weather. I always watch the news at night in my house. The exciting movies is the type most popular to man and the funny to woman. The least popular are talk show, I agree. I never watch this program, I hate. Let me know how you compare.",B1,Portuguese,EFCAMDAT,479729
"I'm selling this exquisite dark blue leather dress. A genuine Dior, 90 cm long which will be perfect for work. You will also be wonderful wearing it in the evening, your friends will be jealous. In fact, this dress will be perfect with a nice black jacket and will be an essential of your wardrobe. It's state-of-the-art, a lot of modish stars wear this kind of dress nowadays. You can see it on all people magazines. My price is only 150$, I'm too fat to wear it now and I really want that someone take profit of it.",B1,French,EFCAMDAT,497312
"When i was a child my dream was to be a doctor, but did'nt study for this because it was very expensive, then I trained to be pharmacist. Although I like the course, I never got a good job then I decided to change my career and now I'm work in It area. In 10 years' time I want to work in the same place because I love my job, however I'd love to get a promotion.",B1,Portuguese,EFCAMDAT,596200
"John miles Ltd company is looking to hire Regional marketing Manager. Please review our website to get more information about the company: www.Johnnies.com We need someone able to designing adverts, and has strong writing and communication skills, computer skills are required including Outlook knowledge,Word,excel, and power point. Must be able to manage projects, and work with the sales to build client base. pay is based on experience: $30.000 to $40.000. 22 days paid vacation, Full health insurance. requirements: BA marketing or similar, 3 years relevant experience. vocation: Manchester.",B1,Arabic,EFCAMDAT,600612
"Here in Brasil we have a lot of programs wich shows a lot of violence (just now I can count 3 very popular). I don't like at all, and I do my best to don't let my family and friends to watch that kind of program. We have some novels to, wich shows sex scenes. I don't like so much of them. I do prefer to watch cable TV...Discovery Channel, Warner, History, and others. We have a good channel called culture (culture). There haves program to adults and kids.",B1,Portuguese,EFCAMDAT,764601
"I think medical technology will be amazing in the future. Tiny robots will help medicine to stop cancer, and others diseases like paludism etc. I think that ""clean electricity"" will be more and more used, for transport, heating, light, etc. But, to protect effectively the environment, I think the attitudes have to change, and it will take a long time...",B1,French,EFCAMDAT,786764
"Last Wednesdays night, my son and I ate a new restaurant near my home, called Pincian pastureland. It usually has to make a reservation, but we would like to try a lucky and to ask whether there was an available table for us. Were so lucky; we just waited for ten minutes. My son and I ordered the sirloin Fried work shop and sirloin Fried work shop and Fried shrimp, respectively. The pork tasted soft, juicy. I like it very much. As soon as we finished the main course, we both ordered the coffee and sesame ice cream. The server said most materials come from local and current vegetables. The servers are very friendly and thats wonderful food. Ill go again with my family and my friends.",B1,Mandarin,EFCAMDAT,792601
"My dream is to be a awesome programmer and make a very useful software or technology that everyone wants to use. Although my college isn't the best one or famous, I'm doing a course I.T. there and I'll got my degree in one year's time, however I think that the success don't depends of where you come from but who you are and how hard you worked to be there. I know that I have talent on this area and I really enjoy automation that makes the machine do the bad side of your job.%% Although I don't know exactly what I want, but I hope that a day my dream become true.",B1,Portuguese,EFCAMDAT,872337
"I believe that in the future all people will care more of your environment. The country that today destroy its environment will need for help in the future. They change your technology for health, food and wather. I don''t take in the far future, I am talking about the near future. I also believe that, in the future we have a big ways for discovery a lot of kinds of cures for diseases. I believe in the human nation better, honest with peoples more lovely. The future must be better to actually days because the human nation need to improve and always keep going ahead.",B1,Portuguese,EFCAMDAT,881861
In the fact i think TV is the importing thing in my house because when I am poring I watch TV. In my country thrave are many channel and programs . generally its suitable for kids. Education and entertainment and silence fiction . In my opinion all this programs are useful and funny for the all person in all families.,B1,Arabic,EFCAMDAT,1027171
"bello Abuabdullah, I have some positive news. I attended a meeting with e-government services committee. We agree to build a new team for monitoring the progress of electronically link with other government agencies such as MCI, SAGA, and DON. The team members are Head of e-government services program, the consumer relation division manager, and me. I have assets to give the team authority to provide information to our partners of government agencies. So, the team will prepared a list of needed information from other agencies and ask the teering Committee for E-Government to decide which information can we give to others and which is confidential. I will give you more details when we meet together. Kind regards, Fahd",B1,Arabic,EFCAMDAT,1105308
"I'm a person who believes that the future will be a better place to live. First, I belive that people don't want a world worse for the future generation. Second, slowly, unfortunately, we're being aware that the way the world is, is not possible to continue, I think and believe with a world where will have a best technology, but with people and conditions where will live with dignity, fewer pollution and many technologies to bring people together more and more people, mainly happy people.",B1,Portuguese,EFCAMDAT,1136489
"I listened to a song by Josh Woodward, called Home improvement. I liked the singer's voice. His voice was soft, edgy and made me relax. The melody does not has much of range. The rhythm was almost same through song. He almost always song low notes, slightly song high notes. I tend to listen to romantic, soft and happy songs which make me relax and happy. therefore I was keen on the song. You should listen to this song. I am sure that you will enjoy the song. I suppose that I listened to it more than 3 times.",B1,Turkish,EFCAMDAT,1153662
"My friend Meg was going to work as usual. Meg went into her usual bar to have her usual breakfast. It was a sunny, normal day. Then, Meg saw a couple get out of a car. suddenly the young couple started to vandalize the local newsagent. Meg didn't knew what to do, but then she decided to try to stop them. The young woman raise her gun, and pushed it into Meg's stomach. My friend Meg was terrified, and she couldn't talk by fear After a while, the young woman with the gun , grabbed Meg's laptop, and ran off down the street. Then the young woman with the gun was chased by a young handsome man on a car, who grabber her hair and, guess what? The young woman was a teenage boy. The Police haven't caught the two criminals yet. Meg is still scared to leave the house.",B2,Italian,EFCAMDAT,15716
"Hi Ian What up? As I heard that you want to leave your job because you are not able to adaptive with the new location. due to the reasons that you mentioned I think you may have a claustrophobia which is irrational fear of enclosed spaces. I strongly recommend consulting a specialist since I heard many people had an amazing improvement after having some treatment techniques. At the first place there is a cognitive behavioral therapy CB which trains the patient to think positively and rationally. Also, it provides some methods to deal with symptoms like training to breathe deeply and slowly, muscle relaxation, etc. in addition to CB there is a medication treatment which is based on using drugs to manage symptoms. hopefully my message helps you and we see you soon in our job. with love, Nouma",B2,Arabic,EFCAMDAT,39778
"Terms of reference - general employee satisfaction within the company. procedure A survey was prepared and conducted across a representative cross-section of employees, which totalled 120, 10% of the company. The topics included satisfaction with: 1. employee basic package 2. working environment 3. Company structure findings employee basic package: - the majority of employees were satisfied with paying scales: vacation days and sick days - many employees complained about overtime culture of the company, they didn't get anything back for that. working environment: - mainly happy - there's no appraisal system Company structure: - two years to get advanced package is too long - the lines of reporting are too long conclusions: - appraisal system must be improved. - the management style is too autocratic recommendations: - to make days off for working extra hours - 18 month to become eligible for the advanced package - restructure of the company",B2,Russian,EFCAMDAT,66293
"Dear Mr. Martin, As per your request I'm writing to you about my intention to be a part of your team. I'm sure that I'm the right person to have this position because we have the same mission - satisfy our clients and give them the right exercise and health way for a better life. I have an excellent level of fitness and communication. I consider 3 skills as important to have: enthusiastic, outgoing and motivation. I can implement training to individuals by preparing a exercise routines to music and develop personal exercise programs for individuals according to age and level of fitness. All this programs you can see in my CV. I'm at your disposal if you need further information. regards, Juliana",B2,Portuguese,EFCAMDAT,72798
"The story begins in the interior of this old, large and luxurious house that was received as heritage from an ancestor to a young boy that is used to live in a big city. The house has an elderly oil tycoon in the basement of this house where once a murder was committed. There is the mystery: A jewel-encrusted dagger as a murder weapon found around the tycoon. The murder was committed for money, because someone else wanted the house and a hidden money in the house that the young boy doesn't know yet. When a mysterious woman arrives to the house, she brings a little twist in the tale.",B2,Portuguese,EFCAMDAT,84553
"Dear Graham, It's really kind of you inviting us for dinner tomorrow, but we're afraid we can't make it, because of Diane' s mother birthday. However, we'd like ever so much receiving you and Lucy for a dinner next week. It will be nice spend some time with you on Friday night or on the weekend as well. Please, talk to Lucy and tell her my apologies. Please, let me know if you can make it. Best wishes, Chris.",B2,Portuguese,EFCAMDAT,391933
Hi Anna I looked at several job ads and I think I found an amazing job for you : zookeeper. It absolutely fits with your skills and your pre requisites. The job is by far the most exhilarating you can find and I strongly encourage you to apply for it as soon as possible. I hope you are doing well and I urge you to consider my offer. See you soon,B2,French,EFCAMDAT,530149
"Hi Ian, I know you feeling a fear irrational, but you can take control. You can start doing a self-reflection, knowing better your body. The crises start when you feel: breathing problems, fainting, racing heart, shaking and sweating. At this moment, you should take control. breathe slowly and keep calm. Don't let fear control your life. There treating for claustrophobia. You can do psychological counseling tha will help you to know, as I said, and keep control. May also seek to strengthen medical treatment with medication for a time. But be sure to treat. We're on your side to help you. See you,",B2,Portuguese,EFCAMDAT,548909
"Hi, Anna! I'm quite sure I've found a suitable job for you as zookeeper at Flossington too. I want you to apply for this job as soon as you can. You could work outside with the most amazing animals preparing their food and feeding them.You will also live by far the most exhilarating experience of your life: to observe crocodiles live in Florida! The salary is phenomenal and some benefits are included such as full accident insurance and 1 month of holiday every year. That's gorgeous! Have a go, don't be lazy: update and send your resume. looking forward to visiting you at Flossington! Your BEST friend :) Maril",B2,Italian,EFCAMDAT,591545
"yesterday we had a meeting with the board to decide the next step to improve the performance of the employers in the company. First, the head of the department gave us the agenda. The head suggested to a merger with the two groups of the employers. We agreed with him because the company hadn't done a very job in the last months. We agreed that we need to move quickly to take this decision. finally, the head decided to make more meeting to try to listen the problems from the employers.",B2,Portuguese,EFCAMDAT,643477
"Hi Anna, I found an incredible amazing job that I am sure is what are you looking for. Let me try to explain I think you should consider. The job is by far well payed, so I urge you to consider it. The salary is 50,000/year. It consist in preparing food for the animals and feed them, so it is so exhilarating for you that I encourage you not to miss it. In addition you will have enough days of vacations so you can travel - your favorite hobby - in addition you will have chance to visit the wild crocodiles in Florida which will result totally amazing to you. So I urge you to take it.regards,Manuel.",B2,Spanish,EFCAMDAT,692512
"Sales figure for best books company: - National sales figure: Between 2004 and 2005 there's a sharp increase in the sales, reaching almost 1 million sales. Between 2005 and 2006 sales figures keeper steady at 1 million. Between 2006 and 2007 sales increased sharply to almost 3 million, but just after that it decreased dramatically to around 1.5 million. - International sales figure: In 2004 until the middle of the year, sales increased dramatically, followed by another sharp increase in 2005 reaching more than 2 million sales. In the middle of 2005 sales figures dropped considerably staying at around 1 million and it kept around the 1 million mark until 2007, where it dropped a bit more to around 0.5 million and stayed there in 2008 as well.",B2,Portuguese,EFCAMDAT,715783
International Sales figures: International book sales fluctuated between 2004 to 2008. 2004 to 2005: a dramatic rise to a figure of 2 million. 2005 book sales fell sharply to about 1 million. In 2007 there was a sharp decrease in sales of about half a million. Sales have levelled off at this figure. National Sales figures: The trend is one of fluctuation. 2004 to 2005 book sales rose sharply to 1 million. 2005 to 2006 sales levelled off at 1 million. 2006 to 2007 sales increased to around 3 million.,B2,Portuguese,EFCAMDAT,740246
"definitely, I can't complain about my life. I would be such an ungrateful because God has blessed my live intensively. For sure, I have a really good life. I have worked for over 15 years, in top positions, for global and well-known companies, such as IBM, Gartner, General motors, International Papers, HP and SAP. So, I worked in 12 countries and got too many things in my life. For the financial side, I have no problems at all. I live very well with my family and get along with my life and kids. But, as time has gone by, certainly I am getting older. And I will be 53 years old next month. consequently, I have got some worries thar have let me desperate and deeply concerned, especially those ones related to my employment situation for a near future. I must find a plan B for my life, in order to rise an other source of earnings. But what? I am an IT professional and there millions of IT professionals working as free-lances, independent contractors, etc... I don't want to be another one. My strongest fear is to be unplayed for the rest of life. I really need to find my career transition indeed.%%",B2,Portuguese,EFCAMDAT,802716
"This article aims at people who need help in transferring to a more gratifying job. The author provides the reader with a two-step strategy enabling him to achieve his dream job. The theory developed in the excerpt is based on statistics and scientific research to demonstrate that people's work discontentment finds an answer in the wrong former motivations of their first job choice. according to the author, the combination of personality traits and life interests would be the magic formula to find the ideal profession. The question is: Can magic really work in the real life? Although this theory sounds like a promise of happiness in this world of complaints and disillusions, I think the most difficult part will be to find ""the job"" which match the best the two factors. I can't help but feel that despite its uplifting outcome, the solution offered by the article isn't realistically conceivable.%%",B2,French,EFCAMDAT,826055
"I've been working at hotel over 20 years. As a hotel manager, I have a certain amount of stress from work. I don't have social life because I work more than 10 hours everyday. Now I've left from my family, and live at hotel alone, so I feel lonely very much. I think that something is missing in my life even I don't live from paycheck to paycheck. I am active and have no financial pressure. Although I can not live together with my family, I spend time with my family in my annual leave.During my holiday, I go to travel around the world with my parents and my son. It gives us many good experiences and memories. I know life is not easy, but I still hope that I can keep a balance between my work to my life. overall, I like my lifestyle, I've got everything I want to buy.",B2,Mandarin,EFCAMDAT,849600
"Hi Anna, I have made a research and I think I found the perfect job for you. You'll work at the Flossington too as a zookeeper. In this job you'll be able to work with the most amazing animals in the world, and you'll feed then in a daily basis. Besides this, you'll travel regularly to Florida, to see wild crocodiles in their natural habitat. I urge you to really consider this job, because it will be absolutely exhilarating for you to be in touch with this animals everyday. See you soon. Best regards, Fabiano",B2,Portuguese,EFCAMDAT,867172
"The advancement of technology is unstoppable. It has changed my all life. I am an enthusiastic fan who is on technology. First of all, I like to buy new product. I have bought every generation pad, that from the first generation to the newest, and there are many e-waste in my house, especially charger, so many kinds of it. Then I have to work 7*24, every day and every night. My boss assigned work every time. May be you were dreaming. And then, we build more computers to hold information, to produce more copies, but have less remember, and communication occurs less in face-to-face. You can see everybody and I that were looking on the smartphone without talking anybody, even our lover or coworker. finally, I am totally dependent on smartphone., we'd be lost without it. We are completely engrossed in our smartphone. We are in a difficult position. I like each other, but I need smartphone. Someone told me he could have without wife but wife. In a word, technology is a double-edged sword. It has advantages and disadvantages.",B2,Mandarin,EFCAMDAT,999915
"I would like to write some words about a ballet. The ballet is a performing art that is unique to my city. I live in St Petersburg. It is an old city founded in 1703. St Petersburg has got a very old ballet history. The casanova wallet Academy was founded in 1737. It became first Russia's educational establishment providing professional ballet training. Over the years, The wallet Academy has graduated a lot of legendary dancer and choreographers including Anna Pavlova, Rudolf Nureyev, George Balanchine, Mikhail Baryshnikov. There are three significant ballet theaters in St Petersburg: Mariinskiy theater, Mikhailovskiy theater and Aleksandrovsk theater. All of that theaters have got old traditions and rich history. I have to notice that I don't like a ballet as an art. However, I visit some ballet performances in my city per year because it's history of my city and I am proud it.",B2,Russian,EFCAMDAT,1174002
"Some important issues were discussed in the meeting I was listening some minutes ago . The merge with another company is always packed with a lot of problems. Two difficult cultured should be broad together in a smart way. The team inclusive the teamleader working together very well and they are supporting each other. It's also known, that from the board of directors decisions will be made that are not so easy to understand for the concerned team. But finally they have to follow the decision which was made and the have to overcome with some ideas to solve all the problems quickly. finally the team will persevere to ie within the scheduled time at the end.",B2,German,EFCAMDAT,1201019
"physiological: I don't have anything to complain about this category. I always have good food, drink and a place to rest my body after a hard working day. safety and security: I live in a small city. Here, everybody knows each other and the crime rate is very low. I and my family feel safe to live here. Love and affection: I'm married, I love my wife and I feel loved indeed. I also have a son, he's the most precious thing I possess. When he smiles at me, I feel strong and renewed to start another hard working and studying day. esteem: I always study hard and I like to be the guy, it doesn't matter what I do and where I am. It's very pleasant to me when a person makes me a compliment, it fulfills my ego and self-esteem. It's important to feel like that. Self-actualization: Having all the topics above fulfilled, I can say that I'm a actualized person. I always do things to keep this self-actualization. People only can be happy if they feel self-actualized.",C1,Portuguese,EFCAMDAT,32481
"Dear Sir, I have some ideas about a new advertising campaign for your products. The three pictures could express the Century's image of classic. A beautiful woman with a flower or men who is playing golf could personalize the identity of your enterprise. I think the second picture will be the best choice. In fact on this picture we see a star under the light. All the people around the star have only eyes for her. We could be affirmative that they are all fan of this woman. The woman isn't disturb by these attitudes. She controls the situation. An other thing is the timeless aspect of this picture as this should always existed. A star is in our collective imagination. With this picture and the slogan ""Your glamour;your Century"" on a TV and billboards campaign we can give these positive images of your business. I hope see you again. Best regards Bob Sinclair",C1,French,EFCAMDAT,214231
"Good days everyone! I 'm Okun ivy and I have been nominated for president of student council. I have studied in this university for two years. Everything gets worse day to day. It is not possible to become a successful student in this condition. Forexample there is no ring service. You must walk to your class minimum 45 min if you has not your car.The food and coffee price are too expensive. Also the food conditions are very bad. If you elect me I promise to solve this problems in a one-year period. I will arrange free ring service in every 15 minutes. You can go to your class in the comfortable bus. With your help,I will increase the food quality. In addition I will organize a free friday night part. I ask you to consider your choice wisely. I want to work for you. I hope I can count on you. I know we will change the everything together. For the future of our school, please give your votes to Okun. Thank you very much participating my meeting.",C1,Turkish,EFCAMDAT,273573
